Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
39630,5714710,1,6,1375,30,1375,1375,1375.0,0.0,6,0,5.0,2.449489743,245.8567451,1.224909051,952451.6667,2324209.264,5696710,4,0,0.0,0.0,0,0,5699863,1139972.6,2547293.687,5696710,4,1,0,0,0,20,132,0.174987007,1.049922043,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375.0,5.0,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,18000.0,0.0,18000,18000,5696710.0,0.0,5696710,5696710,0
80,107241,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,108419.3545,83.92312642,13405.125,33983.58162,97116,3,9609,4804.5,6790.34642,9606,3,107126,21425.2,42508.43064,97116,15,0,0,0,0,72,132,27.97437547,55.94875094,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
80,35243,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,329909.4856,198.6210028,5873.833333,11591.88039,29163,62,5828,2914.0,3467.651655,5366,462,35181,11727.0,15361.08629,29163,189,0,0,0,0,72,92,85.12328689,113.4977159,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
64651,81932621,7,10,11613,68,4380,0,1659.0,2117.072113,20,0,6.8,5.006662228,142.5683672,0.207487565,5120788.813,19000000.0,76400000,3,81900000,13700000.0,33400000.0,81800000,3,81800000,9089925.556,25300000.0,76400000,3,0,0,0,0,152,212,0.085436056,0.122051509,0,4380,649.2777778,1506.272134,2268855.742,0,0,0,0,1,1,0,0,1,687.4705882,1659.0,6.8,152,0,0,0,0,0,0,7,11613,10,68,229,256,5,20,26327.0,0.0,26327,26327,40900000.0,50200000.0,76400000,5420568,0
56677,4029,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,10672.62348,744.6016381,2014.5,2844.690581,4026,3,4029,2014.5,2844.690581,4026,3,0,0.0,0.0,0,0,0,0,0,0,60,0,744.6016381,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,1013,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,83233,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,588.7088054,48.05786167,27744.33333,24905.88084,48184,4,48188,24094.0,34068.40472,48184,4,0,0.0,0.0,0,0,0,0,0,0,60,20,36.04339625,12.01446542,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,258,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
62314,142281,6,2,11601,26,5840,0,1933.5,2376.49858,20,6,13.0,9.899494937,81718.571,56.22676253,20325.85714,45827.39563,123098,65,142281,28456.2,53515.07894,123098,70,242,242.0,0.0,242,242,0,0,0,0,144,40,42.1700719,14.05669063,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,0,1453.375,1933.5,13.0,144,0,0,0,0,0,0,6,11601,2,26,8192,256,4,20,0.0,0.0,0,0,0.0,0.0,0,0,0
49666,60,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,200000.0,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16666.66667,16666.66667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,16154,2049,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,23946,2,2,68,422,34,34,34.0,0.0,211,211,211.0,0.0,20462.70776,167.0425123,7982.0,13818.30134,23938,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,83.52125616,83.52125616,34,211,104.8,96.94689268,9398.7,0,0,0,0,0,0,0,0,1,131.0,34.0,211.0,40,0,0,0,0,0,0,2,68,2,422,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
50310,5018540,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,7.173401029,1.195566838,1003708.0,2232288.35,4996937,4,0,0.0,0.0,0,0,5008967,1252241.75,2496468.48,4996937,4,0,0,0,0,20,100,0.19926114,0.996305698,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
