 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std
54865,3,2,0,12,0,6,6,6.0,0.0
55054,109,1,1,6,6,6,6,6.0,0.0
55055,52,1,1,6,6,6,6,6.0,0.0
46236,34,1,1,6,6,6,6,6.0,0.0
54863,3,2,0,12,0,6,6,6.0,0.0
54871,1022,2,0,12,0,6,6,6.0,0.0
54925,4,2,0,12,0,6,6,6.0,0.0
54925,42,1,1,6,6,6,6,6.0,0.0
9282,4,2,0,12,0,6,6,6.0,0.0
55153,4,2,0,37,0,31,6,18.5,17.67766953
55143,3,2,0,37,0,31,6,18.5,17.67766953
55144,1,2,0,37,0,31,6,18.5,17.67766953
55145,4,2,0,37,0,31,6,18.5,17.67766953
55254,3,3,0,43,0,31,6,14.33333333,14.43375673
36206,54,1,1,0,0,0,0,0.0,0.0
53524,1,2,0,0,0,0,0,0.0,0.0
53524,154,1,1,0,0,0,0,0.0,0.0
53526,1,2,0,0,0,0,0,0.0,0.0
53526,118,1,1,0,0,0,0,0.0,0.0
53527,239,1,1,0,0,0,0,0.0,0.0
53528,1,3,0,0,0,0,0,0.0,0.0
53527,1,2,0,0,0,0,0,0.0,0.0
55035,4,2,0,248,0,217,31,124.0,131.5218613
55275,5,3,0,254,0,217,6,84.66666667,115.283708
55277,4,2,0,12,0,6,6,6.0,0.0
8850,4,3,0,43,0,31,6,14.33333333,14.43375673
43248,54,1,1,0,0,0,0,0.0,0.0
8678,42,3,0,43,0,31,6,14.33333333,14.43375673
55063,4,2,0,37,0,31,6,18.5,17.67766953
55203,3,2,0,37,0,31,6,18.5,17.67766953
55140,3,2,0,37,0,31,6,18.5,17.67766953
55180,737,2,1,37,6,31,6,18.5,17.67766953
55156,3,2,0,37,0,31,6,18.5,17.67766953
55096,3,2,0,37,0,31,6,18.5,17.67766953
55085,3,2,0,37,0,31,6,18.5,17.67766953
8689,276,3,0,43,0,31,6,14.33333333,14.43375673
8817,3,2,0,12,0,6,6,6.0,0.0
8816,3,2,0,12,0,6,6,6.0,0.0
8886,1,2,0,12,0,6,6,6.0,0.0
60350,105,1,1,6,6,6,6,6.0,0.0
60346,66,1,1,6,6,6,6,6.0,0.0
60352,68,1,1,6,6,6,6,6.0,0.0
8833,48,2,0,12,0,6,6,6.0,0.0
9331,3,2,0,12,0,6,6,6.0,0.0
9175,3,2,0,12,0,6,6,6.0,0.0
8693,16,1,1,6,6,6,6,6.0,0.0
8695,63,1,1,6,6,6,6,6.0,0.0
8690,17,1,1,6,6,6,6,6.0,0.0
8694,123,1,1,6,6,6,6,6.0,0.0
57683,4,2,0,12,0,6,6,6.0,0.0
57662,4,2,0,12,0,6,6,6.0,0.0
54864,49,2,0,12,0,6,6,6.0,0.0
57680,3,2,0,12,0,6,6,6.0,0.0
60954,46,1,1,0,0,0,0,0.0,0.0
57681,3,2,0,12,0,6,6,6.0,0.0
55270,3,2,0,12,0,6,6,6.0,0.0
55271,251170,3,0,18,0,6,6,6.0,0.0
57674,49,2,0,12,0,6,6,6.0,0.0
50485,62,1,1,0,0,0,0,0.0,0.0
57686,175,2,1,12,6,6,6,6.0,0.0
33666,37,1,1,0,0,0,0,0.0,0.0
8883,3,2,0,12,0,6,6,6.0,0.0
8884,3,2,0,12,0,6,6,6.0,0.0
55245,96,1,1,6,6,6,6,6.0,0.0
55150,1,2,0,12,0,6,6,6.0,0.0
55043,0,2,0,12,0,6,6,6.0,0.0
55040,48,2,0,12,0,6,6,6.0,0.0
55039,1,2,0,12,0,6,6,6.0,0.0
55043,999588,2,0,12,0,6,6,6.0,0.0
55039,75,1,1,6,6,6,6,6.0,0.0
55040,32,1,1,6,6,6,6,6.0,0.0
53,71693,2,2,74,176,37,37,37.0,0.0
53,60738,2,2,74,200,37,37,37.0,0.0
21,126188,20,25,176,440,43,0,8.8,12.68069399
34805,8003,15,6,19897,0,2896,0,1326.466667,1136.570208
34805,1,2,0,617,0,617,0,308.5,436.284884
21,50,1,2,0,0,0,0,0.0,0.0
139,75,3,1,4,4,4,0,1.333333333,2.309401077
443,208,4,0,46,0,46,0,11.5,23.0
443,514004,3,1,0,6,0,0,0.0,0.0
80,60130920,5,3,216,1533,198,0,43.2,86.57482313
80,60130912,5,3,213,1619,195,0,42.6,85.23379611
443,3895966,5,1,135,46,46,6,27.0,20.1246118
443,3895242,5,1,135,46,46,6,27.0,20.1246118
443,3896308,5,1,135,46,46,6,27.0,20.1246118
443,3895052,5,1,135,46,46,6,27.0,20.1246118
443,3896461,5,1,135,46,46,6,27.0,20.1246118
53,31020664,8,4,372,452,52,41,46.5,5.879747322
53,83718,4,2,184,300,46,46,46.0,0.0
