round,clients,rejected,total_samples,avg_samples,aggregation_time,model_size_kb
1,3,0,5000,1666.6666666666667,4.223898410797119,83.31640625
1,3,0,5000,1666.6666666666667,4.254411935806274,83.31640625
1,3,0,5000,1666.6666666666667,4.219263315200806,83.31640625
1,2,1,3350,1675.0,4.257907390594482,83.31640625
1,2,1,3350,1675.0,4.209795236587524,83.31640625
2,2,1,3350,1675.0,2.191158533096313,83.31640625
3,2,1,3350,1675.0,2.178407907485962,83.31640625
4,2,1,3366,1683.0,2.2285492420196533,83.31640625
5,2,1,3366,1683.0,2.178783893585205,83.31640625
1,3,0,5000,1666.6666666666667,4.195358276367188,83.31640625
1,3,0,5000,1666.6666666666667,4.343109130859375,83.7255859375
2,3,0,5000,1666.6666666666667,2.2154107093811035,83.7255859375
3,3,0,5000,1666.6666666666667,2.237297534942627,83.7255859375
1,3,0,5000,1666.6666666666667,6.4037675857543945,83.7255859375
1,1,1,1634,1634.0,150.77329111099243,83.7255859375
1,1,0,1634,1634.0,60.47848153114319,83.7255859375
1,2,0,3284,1642.0,60.52951169013977,83.7255859375
1,3,0,5000,1666.6666666666667,4.39955472946167,83.7255859375
